mdb.load (2) cost time: 1.180563ms
mdb.load (0) cost time: 1.206966ms
mdb.load (1) cost time: 1.228299ms
mdb.load success.
mdb.load (3) cost time: 1.340579ms
2014/09/28 14:37:38 [I] - load player_hard_level_record
2014/09/28 14:37:38 [I] - load player_hard_level_record
2014/09/28 14:37:38 [I] - load player_hard_level_record
2014/09/28 14:37:38 [I] - load player_hard_level_record
2014/09/28 14:37:38 [I] - load player_hard_level_state
2014/09/28 14:37:38 [I] - load player_hard_level_state
2014/09/28 14:37:38 [I] - load player_hard_level_state
2014/09/28 14:37:38 [I] - load player_hard_level_state
2014/09/28 14:37:38 [I] - load player_heart
2014/09/28 14:37:38 [I] - load player_heart
2014/09/28 14:37:38 [I] - load player_heart
2014/09/28 14:37:38 [I] - load player_heart
2014/09/28 14:37:38 [I] - load player_heart_draw
2014/09/28 14:37:38 [I] - load player_heart_draw
2014/09/28 14:37:38 [I] - load player_heart_draw
2014/09/28 14:37:38 [I] - load player_heart_draw
2014/09/28 14:37:38 [I] - load player_heart_draw_card_record
2014/09/28 14:37:38 [I] - load player_heart_draw_card_record
2014/09/28 14:37:38 [I] - load player_heart_draw_card_record
2014/09/28 14:37:38 [I] - load player_heart_draw_card_record
2014/09/28 14:37:38 [I] - load player_heart_draw_wheel_record
2014/09/28 14:37:38 [I] - load player_heart_draw_wheel_record
2014/09/28 14:37:38 [I] - load player_heart_draw_wheel_record
2014/09/28 14:37:38 [I] - load player_heart_draw_wheel_record
2014/09/28 14:37:38 [I] - load player_info
2014/09/28 14:37:38 [I] - load player_info
2014/09/28 14:37:38 [I] - load player_info
2014/09/28 14:37:38 [I] - load player_info
2014/09/28 14:37:38 [I] - load player_is_operated
2014/09/28 14:37:38 [I] - load player_is_operated
2014/09/28 14:37:38 [I] - load player_is_operated
2014/09/28 14:37:38 [I] - load player_is_operated
2014/09/28 14:37:38 [I] - load player_item
2014/09/28 14:37:38 [I] - load player_item
2014/09/28 14:37:38 [I] - load player_item
2014/09/28 14:37:38 [I] - load player_item
2014/09/28 14:37:38 [I] - load player_item_appendix
2014/09/28 14:37:38 [I] - load player_item_appendix
2014/09/28 14:37:38 [I] - load player_item_appendix
2014/09/28 14:37:38 [I] - load player_item_appendix
2014/09/28 14:37:38 [I] - load player_item_buyback
2014/09/28 14:37:38 [I] - load player_item_buyback
2014/09/28 14:37:38 [I] - load player_item_recast_state
2014/09/28 14:37:38 [I] - load player_item_recast_state
2014/09/28 14:37:38 [I] - load player_item_buyback
2014/09/28 14:37:38 [I] - load player_item_buyback
2014/09/28 14:37:38 [I] - load player_login_award_record
2014/09/28 14:37:38 [I] - load player_login_award_record
2014/09/28 14:37:38 [I] - load player_item_recast_state
2014/09/28 14:37:38 [I] - load player_item_recast_state
2014/09/28 14:37:38 [I] - load player_mail
2014/09/28 14:37:38 [I] - load player_mail
2014/09/28 14:37:38 [I] - load player_login_award_record
2014/09/28 14:37:38 [I] - load player_login_award_record
2014/09/28 14:37:38 [I] - load player_mail
2014/09/28 14:37:38 [I] - load player_mail
2014/09/28 14:37:38 [I] - load player_mail_attachment
2014/09/28 14:37:38 [I] - load player_mail_attachment
2014/09/28 14:37:38 [I] - load player_mission
2014/09/28 14:37:38 [I] - load player_mission
2014/09/28 14:37:38 [I] - load player_mail_attachment
2014/09/28 14:37:38 [I] - load player_mission_level
2014/09/28 14:37:38 [I] - load player_mail_attachment
2014/09/28 14:37:38 [I] - load player_mission
2014/09/28 14:37:38 [I] - load player_mission_level
2014/09/28 14:37:38 [I] - load player_mission_level_record
2014/09/28 14:37:38 [I] - load player_mission
2014/09/28 14:37:38 [I] - load player_mission_level
2014/09/28 14:37:38 [I] - load player_mission_level_record
2014/09/28 14:37:38 [I] - load player_mission_level
2014/09/28 14:37:38 [I] - load player_mission_level_record
2014/09/28 14:37:38 [I] - load player_mission_level_record
2014/09/28 14:37:38 [I] - load player_mission_level_state_bin
2014/09/28 14:37:38 [I] - load player_mission_level_state_bin
2014/09/28 14:37:38 [I] - load player_mission_record
2014/09/28 14:37:38 [I] - load player_mission_record
2014/09/28 14:37:38 [I] - load player_mission_level_state_bin
2014/09/28 14:37:38 [I] - load player_multi_level_info
2014/09/28 14:37:38 [I] - load player_mission_level_state_bin
2014/09/28 14:37:38 [I] - load player_mission_record
2014/09/28 14:37:38 [I] - load player_multi_level_info
2014/09/28 14:37:38 [I] - load player_npc_talk_record
2014/09/28 14:37:38 [I] - load player_mission_record
2014/09/28 14:37:38 [I] - load player_npc_talk_record
2014/09/28 14:37:38 [I] - load player_physical
2014/09/28 14:37:38 [I] - load player_multi_level_info
2014/09/28 14:37:38 [I] - load player_physical
2014/09/28 14:37:38 [I] - load player_purchase_record
2014/09/28 14:37:38 [I] - load player_npc_talk_record
2014/09/28 14:37:38 [I] - load player_multi_level_info
2014/09/28 14:37:38 [I] - load player_purchase_record
2014/09/28 14:37:38 [I] - load player_quest
